,id,title,context,question,answers
2,6508132-0-2,베스테르플라테_전투,"1939년 9월 1일 현지 시간 4시 48분, 전함 슐레스비히-홀슈타인이 폴란드 주둔군 182명과 예비군 27명이 머무르는 병영을 향해 일제포격을 시작하면서 폴란드 침공과 함께 제2차 세계 대전이 시작되었다. 수하르스키 장군은 급하게 헬 반도로 ""SOS. 지금 포격을 받고 있다""라는 전신을 보냈다. 경계벽에 포탄이 맞아 구멍이 생기고 남동부 지역의 기름창고에는 불이 붙어 폭발했다. 8분 후, 슐례스비히-홀슈타인 전함에서 중위 빌헬름 헤닝센이 이끄는 해병대가 급습하고 독일 국방군의 공병 3개 소대가 공세를 펼치면서 폴란드 본토와 이어진 철교를 폭파시켰다. 이런 상황에 독일군은 기습을 받아 놀란 폴란드군을 쉽게 이길 것이라고 예상했다. 폴란드군 하사 보이시에흐 나이사레크가 기관총에 맞아 사망하면서 제2차 세계 대전과 베스테르플라테 전투의 최초 사망자가 되었다. 그러나, 포격으로 파괴된 벽돌 벽을 넘은 후에는 독일군이 갑작스런 매복 공격을 당했다. 독일군은 얽히섥힌 유자철선으로 인해 재빠른 기동을 하지 못하면서 은폐한 폴란드군의 일제사격 살상지대에 걸려들게 되었다(일부는 나무에 숨은 저격수도 있었다고 했지만, 실제로는 없었다). 폴란드군은 보안경찰의 기관총좌를 제압했고, 폴란드군 중위 레온 파예크가 전진하는 독일군에게 강력한 곡사포 포격을 하면서 독일군의 공격을 막아냈다. 항구 건너편 창고 위에 있던 7.62mm 기관총 1개가 배치된 기관총좌도 제압했으나, 독일군 전함이 28번의 포격을 하면서 완전히 파괴되었다.",제2차 세계 대전 당시 슐례스비히-홀슈타인 전함에서 해병대를 이끌었던 독일군 중위는?,"{'text': ['빌헬름 헤닝센'], 'answer_start': [240]}"
11,6585607-2-2,악티늄족,"악티늄은 1899년에 마리 퀴리의 도움으로 드비에른에 의해 발견되었다. 라듐과 폴로늄을 빼고 남은 피치블렌드 찌꺼기에서 발견된 것이다. 1899년 당시, 그는 이 물질이 티타늄과 비슷했다고 하였다. 또, 1900년 당시에는 토륨과도 비슷했다고 했다. 1971년에 악티늄의 발견자가 드비에른이 맞는 지에 대한 논쟁이 일어나기도 하였다. 그리고 2000년에도 일어났는데, 발표가 1904년에 되었는데 1899–1900년에 했던 실험이 모순점이라는 것이었다. 악티늄의 어원은 그리스어로 빛, 광선을 뜻하는 aktis, aktinos (ακτίς, ακτίνος)를 사용하였다. 이 금속은 자기 자신은 방사성이 아니지만 딸핵종은 방사성이 존재했기 때문이다. 란타넘족과 악티늄족의 유사점이 서서히 밝혀지게 되었다. 자연에 존재하는 적은 양의 원소이었던 것이다. 순수한 악티늄은 1950년이 되어서야 만들어졌다. 악티늄족은 1937년에 빅터 골드슈미트에 의해 소개되었을 것으로 추정된다.",드비에른은 1900년 악티늄이 어떤 원소와 유사하다고 했는가?,"{'text': ['토륨'], 'answer_start': [125]}"
14,6585607-16-2,악티늄족,"악티늄족은 염과 할로겐과 큰 반응을 일으킨다. 공식은 MX3과 MX4 (X = 할로겐)이다. 첫 버클륨 화합물은, BkCl3이다. 이 물질은 1962년에 3나노그램 정도 합성되었다. 희토류 원소의 할로겐 화합물 같은 것으로는, 악티늄족 염화물, 브로민화물, 그리고 아이오딘화물은 수용성이고, 플루오린화물은 비수용성이다. 우라늄은 주로 육플루오린화를 하는데, 56.5 °C가 되면 승화를 한다. 이 물질의 휘발성은, 기체 원심 분리기 또는 가스확산법으로 우라늄 동위원소로 분리할 수 있다. 육플루오린화 악티늄족은 무수물의 성질을 가지고 있다. 그것들은 수분에 매우 민감하며 가수분해를 한다.(AnO2F2) 오염화우라늄과 흑색 육염화우라늄은 인공 합성했지만, 둘 다 불안정하다.",처음 합성된 버클륨 화합물인 염화 버클륨이 만들어질 당시의 양은?,"{'text': ['3나노그램'], 'answer_start': [86]}"
17,6570550-0-2,해미순교성지,"해미는 조선 초기 충청 병마절도사영이 위치한 곳이였다. 조선 중기에는 1651년 병마절도사영이 청주로 옮겨지고 해미는 현으로 축소되지만, 여전히 1,400~1,500여 명의 군사가 주둔한 진영이 존재하는 군사적 요충지였다. 군사를 거느린 무관 영장은 해미 현감을 겸하였고, 이에 해미 현감은 충청좌도의 내포 지방 해안수비 명목으로 국사범을 처형할 수 있는 권한을 갖게 된다. 당시 해미 관아의 담당 지역은 충청도는 물론이고 경기도 평택에 이르는 넓은 지역을 아울렀다. 이에 담당 지역의 신자들이 체포되면 모두 해미읍성으로 끌려오게 되었다. 이들이 해미읍성에서 갖은 고문을 당한 후 마지막으로 죽음을 맞으러 가는 곳이 해미읍성 서문 밖과 바로 이곳 해미순교성지의 장소였다.",해미 관아의 담당지역에서 체포된 신자들이 끌려오는 곳은?,"{'text': ['해미읍성'], 'answer_start': [285]}"
22,6488668-1-2,나라_시대,"나라 시대 초기에는 나카토미노 가마타리의 아들 후지와라 후히토가 정권을 쥐고 율령제도의 확립에 진력하는 동시에 황실과 인척관계를 맺으며 후지와라 씨 발전의 기초를 닦았다. 후히토 사후에는 다케치 황자의 아들로 덴무 천황의 손자인 나가야 왕이 우다이진이 되어 정권을 담당하였다. 전대부터 누적되어 온 과중한 부담을 견디지 못한 농민들의 유랑과 도망이 급격히 늘어나 사회 불안이 표면화되었기 때문에, 정부는 재원확보를 위해 723년(요로 7년)에는 삼세일신법(三世一身法)을 시행하여 개간을 장려하였다. 몬무 천황과 후지와라 후히토의 딸인 후지와라 미야코(藤原宮子) 사이에서 태어난 쇼무 천황이 즉위한 724년(진키 원년) 즈음부터 후히토의 네 아들 무치마로(武智麻呂), 후사사키(房前), 우마카이(宇合), 마로(麻呂)가 정계에 진출하였다. 729년(진키 6년), 나가야 왕이 사실상 정계 최고직에 해당하는 사다이진에 취임하자, 이에 위기감을 느낀 후지와라 4형제는 ‘좌도(左道)에 빠져 국정을 기울게 한다’고 참소하여 나가야 왕을 자결로 몰아넣고(나가야 왕의 정변), 정권을 장악했다. 정변 직후, 후지와라 씨는 후히토의 딸인 고묘시(光明子, 고묘 황후)를 쇼무 천황의 황후로 추대하는 데 성공하여, 고묘시는 신하로서는 최초의 황후가 되었다.",나가야 왕을 스스로 죽게 만든 4형제는?,"{'text': ['후지와라'], 'answer_start': [472]}"
39,6559656-1-2,체이서,"2006년 2월 16일부터 그들은 ABC TV를 통해 '체이서의 전체와의 전쟁'(The Chaser's War on Everything)이라는 시사 및 사회비평 코미디 프로그램을 방송하기 시작했다. 방송 초반(2006년)에는 매주 금요일 밤 11시라는 불리한 방송시간대에도 불구하고, 여야를 막론한 가감없는 시사비평과 사회풍자로 서서히 그 존재를 알렸으나, 선거의 해인 2007년에 전격적으로 매주 수요일 저녁 9시로 방송시간을 옮긴 이후부터는 동시간대 시청률 1위(매회당 약 100만 명 이상)를 기록하여 현재에 이르고 있다. 오스트레일리아 내에서 열혈 시청자 진영과 강력한 비판 진영이 동시에 존재하는 프로그램이기도 하다.",체이서의 전체와의 전쟁이 매주 수요일 저녁 9시로 방송시간을 옮긴 해는?,"{'text': ['2007년'], 'answer_start': [207]}"
42,6511493-0-2,서대구화물역,"1991년 6월에 법인이 설립되고 1993년 9월에 도시계획 시설로 결정되어, 1996년 12월부터 대구광역시와 철도청(당시), 민간업체 22개사가 공동으로 출자하여 ‘제3섹터’ 방식으로 대구광역시 서구 이현동의 부지에 서대구 복합 화물역사를 건립하는 공사가 추진되어 왔으며, 1997년 2월 21일에 대구복합화물터미널 기공식이 열렸다. 하지만 같은 해 12월, 당시 IMF 사태의 영향으로 주간사였던 청구의 부도로 인해 사업이 중단되었다. 2000년 6월에 재개되어 역사 건립까지 완료되었으나, 이번에는 영업 시설에 투자할 사업주관사에 희망하는 업체가 없어 이를 선정하지 못하는 바람에 공사가 중단되어 2003년 이래 수년간 방치되었다.",투자 업체가 없어 방치되었던 것은 몇 년 부터였습니까?,"{'text': ['2003년'], 'answer_start': [338]}"
47,6261789-0-2,기자_클럽,"기자실에 상주하는 기자들의 주요 업무는 주로 브리핑 자료를 요약하는 것이므로 발표 자료가 사실인지 확인하는 데 소홀하게 된다는 비판을 받고 있다. 또, 취재를 하기 위해 다른 지역으로 나가는 것을 배우는 기자들이 줄어들게 하고 있다. 때문에 대부분의 기사가 기자클럽에 발표된 자료로 쓰인다. 다른 선진국에선 상상도 할 수 없는 일이다. 교도 뉴스의 전직 기자인 우오즈미 아키라(魚住昭)는 ""되도록 빨리 정부에서 나오는 정보를 수집하는 것이 업무의 7할 또는 8할을 차지한다면, 세계에서 실제로 무엇이 일어나는지 촉각을 곤두세우는 본능이 무뎌질 것이다. 이것을 알기 전에 공무원의 논리가 몸안에 침투해 공무원의 관점에서 벗어나 생각하기 어렵게 한다. 나는 그렇지 않다고 생각했지만 프리랜서가 되고 5년 후에 나도 그랬다는 것을 깨달았다.""(아사히 신문, 2001년 5월 26일자)라며 기자클럽이 기자를 정신적으로 서서히 무기력하게 만들고 언론인으로서의 본능을 무디게 만든다고 주장하였다.",빨리 정보를 수집하는 것이 촉각이 무뎌지게 할 것이라는 말을 어느 신문에서 했는가?,"{'text': ['아사히'], 'answer_start': [413]}"
50,6261789-1-2,기자_클럽,"기자클럽은 태생적으로 배타적이며, 뉴미디어와 외신, 프리랜서 기자의 가입을 제한다고 비판받고 있다. 이에 일본신문협회는 외국인특파협회(外国人特派協会, Foreign Correspondents' Club of Japan) 회원은 일본신문협회 회원과 같은 대우를 받는 정책을 적용하였다. 그리고 1990년대말 로이터가 가부토 클럽(兜倶楽部)에 가입하는 것을 허용하였다. 이때부터 블룸버그, 다우존스 같은 거대 미디어 그룹이 주요 기자클럽에 가입하게 되었다. 그러나 대부분의 외신이 도쿄에 소수의 특파원만 파견하기 때문에, 특파원을 클럽에 가입시켜 상주시키는 것은 불가능하다. 따라서 기자클럽에 가입할 수 있는 외신은 소수에 불과하다. EU는 기자클럽의 폐쇄성과 배타성을 비난하면서, 기자클럽을 폐지하고 일본 외무성이 발급한 기자증을 소지한 모든 기자가 정부 부처에서 취재할 수 있도록 해야한다고 주장하였다. 외신 기자들이 루시 블랙맨(Lucie Blackman)이란 영국 여성의 실종과 사망에 대한 경찰 브리핑에 참석하는 것이 거부되고, 고이즈미 준이치로(小泉純一郎) 총리가 조선민주주의인민공화국을 방문할 때 기자클럽 비회원은 동행 취재가 허락되지 않은 것(이지마 이사오(飯島勲) 비서관의 발언)이 원인이었다. 국경없는 기자회는 일본 정부가 기자클럽을 해체할 것을 요청하고 있다.",기자클럽에 가입할 수 있는 외신의 수는?,"{'text': ['소수'], 'answer_start': [343]}"
67,6560883-1-2,칠레,"1520년, 세계 일주를 한 페르디난드 마젤란은 남아메리카 대륙 최남단에 그의 이름을 딴 마젤란 해협을 발견했다. 다음으로 칠레에 도착한 유럽인은 디에고 데 알마그로와 그의 스페인 정복자 무리로, 프란시스코 피사로와 영토 분쟁을 일으킨 뒤 그는 1535년 금을 찾기 위해 페루에서 왔다. 그는 ""칠레의 발견자""로 여겨지나 이 땅은 마푸체 원주민들의 땅이었다. 스페인인들은 칠레 땅에서 다양한 문화를 가진 마푸체인 수 십만명과 만나게 된다. 본격적인 칠레 정복은 1540년에 시작돼, 프란시스코 피사로의 부관 페드로 데 발다비아가 이끌었다. 그는 산타 루시아 기슭에 산티아고 데 누에바 엑스트레마두라를 건설했다. 비록 스페인인들은 그들의 찾던 많은 금과 은을 찾진 못했으나 칠레 중부 계곡이 농사 짓기 좋은 곳임을 알게 되었으며 칠레는 페루 부왕령의 일부가 됐다.",프란스시코 피사로의 부관 페드로 데 발다비아가 산타 루시아 기슭에 건설한 것은 무엇인가?,"{'text': ['산티아고 데 누에바 엑스트레마두라'], 'answer_start': [316]}"
94,5906189-3-2,코라의_전설,최초의 아바타. 정의로운 성격으로 불의 사자거북도시에서 살았으나 잘못을 저지르고 쫓겨난다. 그러나 도시에서 벗어나 살아가려면 파이어 밴딩이 꼭 필요하다고 사자거북에게 부탁하여 벤딩능력은 그대로 가지고 도시에서 쫓겨난다. 쫓겨난 완은 영혼들과 함께 살며 파이어 밴딩을 이용해 영혼들을 지켜주고 영혼들의 사는 방식을 배우게 된다. 이때 용의 도움을 받아 효과적인 파이어 밴딩 방법과 동작을 정립한다.(그 동작이 바로 아앙의 전설에서 나왔던 춤추는 용이다.) 후에 영혼들을 떠나 방황하다가 바투를 잡아두는 빛의정령 라바와 탈출하려는 어둠의 정령 바투가 싸우는 모습을 보게 되고 바투를 풀어주게 된다. 라바로부터 라바와 바투가 싸운 이유를 알게 되자 다시 바투를 잡는일을 돕겠다고 다짐. 라바와 동행한다.(사실은 바투가 탈출한 이후 약해진 라바가 완과 동행한 것.) 바투를 잡기 위해 파이어 밴딩만으로는 안된다는 것을 깨닫고 다른 사자거북의 도시에 가서 나머지 3개의 밴딩능력을 모두 받아온다. 조화의 집중때 라바와 완전히 결속되어 아바타 상태가 되고 바투를 시간의 나무 속에 봉인한다. 그리고 영혼 포탈 중 한쪽의 결계를 닫는다. 여생을 평화를 유지하려는데 다 바치지만 끝내 실패하고 죽는다.,완이 바투를 잡기 위해 동행한 이는?,"{'text': ['라바'], 'answer_start': [381]}"
103,6528559-2-2,데이비드_베컴,"그의 부모님은 열광적인 맨체스터 유나이티드의 지지자로 런던에서 올드 트래퍼드까지 자주 왕복해 선수단의 안방 경기를 보곤 했다. 데이비드는 부모님의 맨체스터 유나이티드에 대한 애정을 빼닮았고, 그가 가장 열광한 종목은 축구였다. 그는 보비 찰튼이 설립한 맨체스터의 축구 학교 한 곳을 다니다가 재능 대회를 위해 바르셀로나와의 훈련 기회를 잡았다. 그는 인근 유소년 구단이자 부친이 스튜어트 언더우드와 스티브 커비가 공동으로 감독을 맡은 리지웨이 로버스에서 축구를 했다. 베컴은 1986년 웨스트햄 유나이티드와의 경기에서 맨체스터 유나이티드의 마스코트였다. 어린 베컴은 인근 구단 레이턴 오리엔트와 노리치 시티에서 시험 훈련을 받았고, 이후 토트넘 홋스퍼의 유소년 학교를 다녔다. 토트넘 홋스퍼는 그가 처음으로 활약한 구단이었다. 2년의 기간에 걸쳐 베컴은 브림스던 로버스 유소년부 소속으로 1990년에 U-15 올해의 선수로 선정되었었다. 그는 브래든턴 대입 준비학원도 다녔지만, 14세의 나이에 학생 전형으로 맨체스터 유나이티드에 입단했고, 1991년 7월 8일에 청소년 직업 훈련 계획에 따라 계약을 체결했다.",베컴이 U-15 올해의 선수로 선정되었을 때 소속되있던 팀은?,"{'text': ['브림스던 로버스'], 'answer_start': [422]}"
120,6529668-2-2,미국의_정치,"제도적인 측면에서 볼 때, 미국은 3권분립을 엄격히 고수하고, 독립국에 가까운 주(州)제도를 채용하여 지역의 자주성을 존중하고 있는 것도 이와 같은 역사적 경위에 의한 것이다. 그러나 형태적인 측면에서 보면, 이 분립된 3권간에는 권력의 중복현상이 일어나고 있다. 다시 말하면 미국의 정치체제 간에는 행정부·입법부·사법부가 중복되는 역할을 담당하는 경우가 흔히 있다. 연방제도를 채택하고 있는 미국의 정부는 구성주정부가 연방정부에 위임하는 권한을 헌법에 명시하고 있으며, 그 외의 권한은 국민과 50개의 주가 보유하고 있다. 50개주는 연방 정부와 마찬가지로 주 정부도 행정부, 입법부, 사법부 3부로 구성되어 있으며, 주 각부는 연방 정부의 각부와 동등한 기능 및 영역을 지닌다. 각 주의 행정 수반은 주지사이다. 연방정부와 주정부간의 권력의 분리에도 불구하고, 양자 간에는 권력 분포와 행사에 있어서 중복현상과 마찰현상이 나타나고 있다. 20세기적인 상황이기는 하지만, 미국도 행정부의 권력이 비대해짐에 따라 의회의 권한은 상대적으로 약화되고 있다. 미국 정치에서 의회가 차지하는 위치나 역할은 매우 중요하며, 또한 강력하다. 단지 시대적인 차원에서 행정부의 권한이 강화된 반면, 의회의 권한은 상대적으로 약화되었을 뿐이다. 미국은 50개주에 포함되지 않는 괌, 북마리아나제도 등의 속령 등 해외영토를 보유하고 있다. 미국 대통령은 국가 군대 최고 통수권자의 직함을 가지며, 국방 장관과 국방장관의 추천으로 합참의장 각군참모총장 및 해병대사령관을 상원의 동의를 얻어서 임명한다. 미국 국방부는 육군, 해군, 해병대, 공군을 비롯한 군 전체를 총괄한다. 해안 경비대의 경우 평화시에는 국토안보부에서, 전시에는 해군부에서 관할한다.",미국 해안 경비대는 평화시에는 국토안보부 관할이나 전시에는 어느 부처 관할로 바뀌는가?,"{'text': ['해군부'], 'answer_start': [846]}"
