,id,subject,question,choices,answer
690,437,us_history,The American Colonization Society was founded in the early 1800s primarily to,"['forcibly expel African Americans from the United States ', 'establish Native American reservations on good, fertile farming and hunting lands ', 'encourage residents of the Eastern states to settle the Great Plains and the Southwest ', 'help free African Americans resettle in northwestern Africa ', 'achieve immediate and universal abolition of slavery throughout the United States']",help free African Americans resettle in northwestern Africa 
691,438,us_history,Which of the following was founded in the aftermath of the Haymarket Riot of 1886?,"['Congress of Industrial Organizations ', ""Teamsters' Union "", 'American Railway Union ', 'American Federation of Labor ', 'Knights of Labor']",American Federation of Labor 
692,439,us_history,Which of the following factors contributed most to California's decision to apply for statehood in 1850?,"['Increase in population as a result of the Gold Rush ', 'Democratic Party success in the California legislature ', 'Local insistence that California would be a slaveholding state ', 'Decision of Congress to build a transcontinen tal railroad ', 'Realization that the United States would soon be at war with Mexico']",Increase in population as a result of the Gold Rush 
693,440,us_history,Many teenagers in the United States in the 1960s demanded that the voting age be lowered to 18 from 21 primarily because,"['they wanted the privilege of protesting against government policies ', 'they supported a political party that intended to overthrow the U.S. government ', 'they wanted to be able to vote to lower the legal drinking age ', 'they hoped to vote down a recent increase in income tax rates ', 'they felt that since they were old enough to fight and die in military service, they were old enough to vote']","they felt that since they were old enough to fight and die in military service, they were old enough to vote"
694,441,us_history,President Andrew Johnson's Reconstruction pro grams included all the following EXCEPT:,"['a blanket pardon to all Confederate soldiers ', 'the removal of Union troops of occupation from the South ', 'a requirement that Southern states abolish slavery ', 'annulment of old debts to the Confederate government ', 'full civil rights for all African Americans']",full civil rights for all African Americans
695,442,us_history,The U.S. government encouraged the growth of settlement on the Great Plains in the mid-nineteenth century primarily by passing the,"['Homestead Act ', 'Pacific Railway Act ', 'Volstead Act ', 'Morrill Act ', 'Kansas-Nebraska Act']",Homestead Act 
696,443,us_history,"A ""Horatio Alger"" hero is a fictional character who symbolized which of the following to readers of the 1860s and 1870s?","['The evil effects of gambling ', ""The ability to get rich by working one's way up from poor beginnings "", 'The value of social programs that helped working people ', 'The importance of acquiring a four-year college degree ', 'The importance of aristocratic family connec tions to those who want to succeed']",The ability to get rich by working one's way up from poor beginnings 
697,444,us_history,Education reform during the late 1800s had all the following effects EXCEPT:,"['raising the literacy rate of people in the United States ', 'changing teaching methods in the public schools ', 'increasing the enrollment of students in all grade levels ', 'integrating the public schools by race ', 'founding more colleges and universities']",integrating the public schools by race 
698,445,us_history,The American Indian movement of the 1970s accomplished which of the following?,"['Took permanent control of the federal Bureau of Indian Affairs ', 'Recovered thousands of acres of ancestral tribal lands in Maine and New Mexico ', 'Won a lawsuit over an incident at Wounded Knee, South Dakota ', 'Burned a replica of the Pilgrim ship Mayflowerin Boston harbor ', 'Established the National Museum of the American Indian in New York City']",Recovered thousands of acres of ancestral tribal lands in Maine and New Mexico 
699,446,us_history,All the following types of music were fused together to become jazz EXCEPT:,"['ragtime ', 'the blues ', 'spirituals ', 'hymns ', 'work songs']",hymns 
700,447,us_history,During the late 1800s newly arrived immigrants supported political machines primarily because,"['political machines offered them jobs and essential city services in exchange for their votes ', 'political machines committed fraud to get their candidates elected when necessary ', 'political machines received kickbacks from businesses ', 'political bosses were fellow immigrants ', 'political bosses supported the settlement-house movement and public education reform']",political machines offered them jobs and essential city services in exchange for their votes 
701,448,us_history,The first shiploads of British colonists who settled on the Atlantic coast faced all the following problems EXCEPT:,"['hunger ', 'disease ', 'difficult winter weather ', 'implacable hostility of the Native Americans ', 'lack of essential supplies']",implacable hostility of the Native Americans 
702,450,us_history,The British were the first Europeans to settle all the following colonies EXCEPT:,"['Rhode Island ', 'Connecticut ', 'New York ', 'Pennsylvania ', 'Virginia']",New York 
703,451,us_history,The colonists took all the following actions in opposition to the Stamp Act EXCEPT:,"['tarring and feathering the stamp agents ', 'convening the Stamp Act Congress in New York City ', 'passing resolutions declaring the Stamp Act illegitimate ', 'boycotting British imports ', 'sending the Olive Branch Petition to Parliament']",sending the Olive Branch Petition to Parliament
704,452,us_history,Which one of the following men spearheaded the religious revival known as the Great Awakening of the mid-1700s?,"['Benjamin Franklin ', 'William Penn ', 'Jonathan Edwards ', 'Edmund Andros ', 'Oliver Cromwell']",Jonathan Edwards 
705,453,us_history,Congress passed the National Recovery Act in 1933 to do all the following EXCEPT:,"['stabilize prices ', 'create jobs through public-works projects ', 'allow industries to regulate themselves ', 'raise wages ', 'enforce antitrust laws']",enforce antitrust laws
706,454,us_history,"Who pays the big election expenses of your con gressman ?... Do you imagine those who foot those huge bills are fools? Don't you know that they make sure of getting their money back, with interest? The speaker of the above quotation most likely supported which of the following?","['Progressivism ', 'Prohibition ', 'Segregation ', 'Reconstruction ', 'Cronyism']",Progressivism 
707,455,us_history,All the following contributed to the decline of the Colored Farmers' Alliance EXCEPT:,"['racial divisions within the Alliance movement ', 'declining membership ', 'use of violence by white farmers against black workers ', ""failure of a cotton pickers' strike in 1891 "", 'expansion of the national money supply']",expansion of the national money supply
708,456,us_history,All the following photographers created important visual records of aspects of U.S. history EXCEPT:,"['Jacob Riis ', 'Matthew Brady ', 'Dorothea Lange ', 'Jessie Tarbox Beals ', 'Ansel Adams']",Ansel Adams
709,457,us_history,The Articles of Confederation did not provide a good basis for government primarily because,"['they established no legislative branch for the national government ', 'they gave the federal government no power to raise money from the states ', 'they put too much power in the hands of the federal judiciary ', 'they reserved no individual rights to the states of the Union ', 'they required a unanimous vote of all the states to pass any legislation']",they gave the federal government no power to raise money from the states 
710,458,us_history,The Populist Party of the 1890s supported all the following EXCEPT:,"['a graduated income tax ', 'maintaining the gold standard ', 'bank regulation ', 'voting reform ', 'limits on immigration']",maintaining the gold standard 
711,459,us_history,"Which of the following novelists wrote mainly about the social class whose lifestyle Thorstein Veblen described in 1899 as the embodiment of ""conspicu ous consumption""?","['Mark Twain ', 'J. D. Salinger ', 'Edith Wharton ', 'Jack London ', 'Ernest Hemingway']",Edith Wharton 
712,460,us_history,The Armory Show of 1913 was significant primarily because,"['it displayed the results of an explosion in a shingle factory ', 'it was the first major exhibition of modern art in the United States ', 'it was entirely under the control of the American Museum Association ', 'it convinced the public that European painters were better than U.S. painters ', 'it was a huge success with the critics and the public']",it was the first major exhibition of modern art in the United States 
713,461,us_history,President Lyndon B. Johnson became the national leader most responsible for ending racial segregation by taking all the following actions EXCEPT:,"['integrating the armed forces ', 'appointing Thurgood Marshall to the Supreme Court ', 'signing into law the Civil Rights Act of 1964 ', 'creating the Office of Economic Opportunity ', 'signing into law the Voting Rights Act of 1965']",integrating the armed forces 
714,462,us_history,The French and Indian War resulted in all the following EXCEPT:,"['Colonists gained their first experience of organized military action. ', 'France ceded all territory east of the Mississippi River, except New Orleans, to Britain. ', 'Seeds of distrust and resentment were sown between the British Army and the colonial volunteers. ', 'Britain accumulated an enormous war debt. ', ""Colonial legislatures voted to approve Ben Franklin's Albany Plan of Union.""]",Colonial legislatures voted to approve Ben Franklin's Albany Plan of Union.
715,464,us_history,Which of the following is a classic American novel of adolescent rebellion?,"['Moby-Dickby Herman Melville ', 'The Catcher in the Ryeby J. D. Salinger ', 'To Kill a Mockingbird by Harper Lee ', 'My ántonia by Willa Cather ', 'The Moon Is Down by John Steinbeck']",The Catcher in the Ryeby J. D. Salinger 
716,465,us_history,All the following combined to help form the Free Soil Party in 1848 EXCEPT:,"['farmers ', 'land reformers ', 'industrial workers ', 'abolitionists ', 'Southern conservatives']",Southern conservatives
717,466,us_history,"Which of the following resulted when the workers at the Carnegie Steel Company of Homestead, PA, went on strike in 1892?","['Eugene Debs made a public speech expressing support for the strikers. ', 'The company had the union leaders arrested for theft. ', 'Strikers achieved their goal of higher wages. ', 'Andrew Carnegie resigned as chairman of U.S. Steel. ', 'Management locked the workers out of the plant.']",Management locked the workers out of the plant.
718,467,us_history,"Rather than trying to climb the economic ladder, people are becoming more concerned with relation ships and family and community involvement. The speaker of the above quotation is most likely commenting on the passage into law of which of the following?","['Family and Medical Leave Act ', 'North American Free Trade Agreement ', 'Immigration Act ', 'Operation Restore Hope ', 'Contract with America']",Family and Medical Leave Act 
