id,subject,prompt,A,B,C,D,E,answer,prompt_ko,A_ko,B_ko,C_ko,D_ko,E_ko
1,us_history,"The term ""American Indians"" is a misnomer because the people it designates",are not native to the Americas,originally came from Asia,did not inhabit the East Indies,did not speak any European languages,first settled the Americas during the 1400s,C,"""아메리칸 인디언""이라는 용어는 다음과 같은 사람들을 지칭하기 때문에 잘못된 이름입니다.",는 아메리카 원주민이 아닙니다.,원래 아시아에서 온,동인도 제도에 서식하지 않았습니다.,유럽 언어를 구사하지 못함,1400년대에 아메리카 대륙에 처음 정착했습니다.
2,us_history,Which of the following contributed the most to the founding and success of the Iroquois Confederacy?,The small size of the Iroquois tribes,The fact that the tribes all belonged to the same nation,The popular election of the council members,The constant conflicts among the Iroquois tribes,The example of the New England town meeting,B,다음 중 이로쿼이 연방의 설립과 성공에 가장 크게 기여한 인물은 누구입니까?,이로쿼이 부족의 작은 규모,부족들이 모두 같은 국가에 속해 있었다는 사실,인기 투표로 선출된 의원,이로쿼이 부족 간의 끊임없는 갈등,뉴잉글랜드 타운 미팅의 예
3,us_history,Which nation has had the greatest influence on modern American culture?,Asia,England,France,Italy,Spain,B,현대 미국 문화에 가장 큰 영향을 미친 국가는 어디인가요?,아시아,영국,프랑스,이탈리아,스페인
4,us_history,A major reason that the Europeans succeeded in dominating the Native Americans and gradually taking over their land because,their religion was more compelling,their respect for the land was greater,they were better farmers than the Native Americans,their weapons were more sophisticated and deadly,they arrived in America before the Native Americans,D,유럽인들이 아메리카 원주민을 지배하고 점차 그들의 땅을 점령하는 데 성공할 수 있었던 주요 이유는 다음과 같습니다.,그들의 종교가 더 설득력이 있었습니다.,땅에 대한 그들의 존중은 더 컸습니다.,그들은 아메리카 원주민보다 더 나은 농부였습니다.,그들의 무기는 더 정교하고 치명적이었습니다.,그들은 아메리카 원주민보다 먼저 미국에 도착했습니다.
5,us_history,Why did the settlers of Massachusetts Bay found Harvard College?,They wanted a school that would rival Yale College in Connecticut.,They needed to supply jobs for unemployed professors.,They were concerned to educate future ministers of their church.,They wanted both boys and girls in New England to learn to read.,They insisted on the separation of church and state.,C,매사추세츠 베이의 정착민들은 왜 하버드 대학을 설립했을까요?,그들은 코네티컷에 있는 예일 대학에 필적할 만한 학교를 원했습니다.,실직한 교수들에게 일자리를 제공해야 했습니다.,그들은 교회의 미래 목회자를 교육하는 데 관심이 있었습니다.,그들은 뉴잉글랜드의 소년과 소녀 모두가 읽기를 배우기를 원했습니다.,그들은 정교 분리를 주장했습니다.
6,us_history,The most important difference between Pennsylvania and the Massachusetts Bay Colony was that Pennsylvania,was not founded by a Christian,was not an English colony,did not have a large city,was not ruled by a theocracy,did not attract settlers from Europe,D,펜실베이니아와 매사추세츠 베이 식민지의 가장 중요한 차이점은 펜실베이니아는,는 기독교인이 설립한 것이 아닙니다.,영국의 식민지가 아니었습니다.,대도시가 없었습니다.,신권주의에 의해 통치되지 않았습니다.,유럽에서 정착민을 유치하지 못했습니다.
7,us_history,The success of Southern plantations led to the increase of which of the following?,The African slave trade,Indentured servitude,Intercolonial trade,The building of cities,Trade with the Native Americans,A,남부 농장의 성공으로 인해 다음 중 어느 것이 증가했습니까?,아프리카 노예 무역,노예 계약,식민지 간 무역,도시 건설,아메리카 원주민과의 무역
8,us_history,Which of the following events was most responsible for the eventual disappearance of theocracy in Massachusetts?,The founding of Rhode Island,The establishment of Yale College,The banishment of Anne Hutchinson,The founding of Pennsylvania,The Salem witchcraft trials,E,다음 중 매사추세츠에서 신정 체제가 사라지는 데 가장 큰 영향을 미친 사건은?,로드 아일랜드의 건국,예일 대학 설립,앤 허친슨의 추방,펜실베니아의 건국,세일럼 마술 재판
9,us_history,The Navigation Acts of the 1650s had all the following purposes EXCEPT:,to protect colonial trade,to increase profits for Great Britain,to maintain English control over colonial trade,to foster a mercantilist economy,to increase imports to the colonies while decreasing exports,E,1650년대의 항해법은 다음과 같은 목적을 가지고 있었습니다:,식민지 무역을 보호하기 위해,영국을 위한 수익 증대,식민지 무역에 대한 영국의 통제권을 유지하기 위해,중상주의 경제를 육성하기 위해,식민지에 대한 수입을 늘리고 수출을 줄이려고
10,us_history,A principal consequence of the Glorious Revolution in Britain was that,the New England colonists threw Edmund Andros out of office,England became a Catholic nation once again,a queen ruled England in her own right for the first time,the colonial assemblies began discussing the need for a militia,English Protestants began fleeing to the colonies for fear of religious persecution,A,영국에서 영광스러운 혁명이 가져온 주요 결과는 다음과 같습니다.,뉴잉글랜드 식민지 주민들은 에드먼드 안드로스를 쫓아냈습니다.,영국은 다시 한 번 가톨릭 국가가 되었습니다.,여왕이 처음으로 영국을 직접 통치했습니다.,식민지 의회는 민병대의 필요성을 논의하기 시작했습니다.,영국 개신교도들은 종교 박해에 대한 두려움으로 식민지로 도망치기 시작했습니다.
11,us_history,The abolitionist movement had difficulty gaining supporters in the early1800s because,African slaves were content with their status,there were no Africans in powerful positions in the government,Africans easily found ways to flout the system of slavery,Northern whites could ignore the wrongs of the slave system in the South and Southerners found it too profitable to end,Quakers were a majority in the colonies and spoke out against slavery at an early date,D,"노예제 폐지 운동은 1800년대 초에 지지자를 확보하는 데 어려움을 겪었는데, 그 이유는 다음과 같습니다.",아프리카 노예들은 자신의 지위에 만족했습니다.,정부 고위직에 아프리카인이 없었습니다.,아프리카인들은 노예 제도를 어길 수 있는 방법을 쉽게 찾았습니다.,북부 백인들은 남부의 노예 제도의 잘못을 무시할 수 있었고 남부 사람들은 노예 제도를 끝내기에는 너무 많은 이익이 있다고 생각했습니다.,퀘이커교도들은 식민지의 다수였으며 일찍부터 노예제도에 반대하는 목소리를 냈습니다.
12,us_history,Which of the following people probably had the hardest and most thankless life in the colonies?,A farmer's wife,A female slave,A male slave,A cobbler,A blacksmith's apprentice,B,다음 중 식민지에서 가장 힘들고 감사할 줄 모르는 삶을 살았던 사람은 누구인가요?,농부의 아내,여성 노예,남성 노예,구두 수선공,대장장이의 견습생
13,us_history,Britain defended the colonists against the French primarily because,William Pitt believed it was necessary to win the war quickly,Britain was protecting its own investment in the colonies,British military officers were personally loyal to colonial troops,the British and the Native Americans did not have friendly relations,Britain wanted to push Spain out of its American colonies,B,영국이 프랑스에 맞서 식민지 주민들을 옹호한 이유는 주로 다음과 같습니다.,윌리엄 피트는 전쟁에서 빨리 승리해야 한다고 믿었습니다.,영국은 식민지에 대한 자국의 투자를 보호하고 있었습니다.,영국군 장교들은 개인적으로 식민지 군대에 충성했습니다.,영국과 아메리카 원주민은 우호적 인 관계가 아니 었습니다.,영국은 스페인을 미국 식민지에서 몰아내고자 했습니다.
14,us_history,George Washington found the job of commander in chief of the colonial army thankless and exhausting for all the following reasons EXCEPT:,the regular desertion of his soldiers who wanted to return to look after their own affairs,the contempt and distrust with which the British army officers treated him,the fact that his soldiers often refused to obey orders of which they did not approve,his lack of enjoyment of or interest in the military life,the youth and inexperience that made it difficult for him to know the best course to pursue,D,조지 워싱턴은 식민지 군대의 총사령관이라는 직책이 다음과 같은 이유를 제외하고는 모두 감사하지 않고 지친 일이라고 생각했습니다:,자신의 일을 돌보기 위해 돌아가고 싶어하는 병사들의 정기적 인 탈영.,영국군 장교들이 그를 대하는 경멸과 불신은,그의 병사들이 종종 그들이 승인하지 않은 명령에 복종하기를 거부했다는 사실,군 생활에 대한 즐거움이나 관심 부족,젊음과 경험 부족으로 인해 최선의 진로를 알기 어려웠습니다.
15,us_history,The two maps in this chapter illustrate which result of the French and Indian War?,The colonists began to identify themselves as fellow Americans rather than as Virginians or New Yorkers.,Dislike and distrust began to grow between Britain and the colonies.,Individual colonies expanded their territory westward.,Britain more than doubled the size of its holdings in North America.,Spain more than doubled the size of its holdings in North America.,D,이 장의 두 지도 중 프랑스와 인도 전쟁의 결과를 보여주는 것은?,식민지 주민들은 스스로를 버지니아 주민이나 뉴욕 주민이 아닌 동료 미국인으로 인식하기 시작했습니다.,영국과 식민지 사이에 혐오와 불신이 커지기 시작했습니다.,각 식민지는 서쪽으로 영토를 확장했습니다.,영국은 북미에서 보유 자산 규모를 두 배 이상 늘렸습니다.,스페인은 북미에서 보유 자산 규모를 두 배 이상 늘렸습니다.
16,us_history,Before 1754 French activity in North America was directed primarily toward,open warfare with Spanish colonists along the West Coast,religious conversion of the Native Americans,establishing the fur trade with the Native Americans,border warfare with the British colonists,building large cities along the Mississippi River,C,1754년 이전 북미에서 프랑스의 활동은 주로 다음과 같은 목표를 향해 진행되었습니다.,서부 해안의 스페인 식민지 주민들과의 공개 전쟁,아메리카 원주민의 종교적 개종,아메리카 원주민과의 모피 무역 확립,영국 식민지와의 국경 전쟁,미시시피 강을 따라 대도시 건설하기
17,us_history,The First Continental Congress was convened primarily to,discuss a unified colonial response to the Intolerable Acts,discuss a plan to unite the 13 colonies as an independent nation,raise a standing army that could protect the colonists against Britishoppression,arrive at a set of internal trade regulations that was fair to all colonies,plan a suspension of all trade with Great Britain,A,제1차 대륙회의는 주로 다음과 같은 목적으로 소집되었습니다.,참을 수 없는 행위에 대한 통일된 식민지 대응에 대해 논의합니다.,13개 식민지를 독립 국가로 통합하는 계획을 논의합니다.,영국의 압제에 맞서 식민지 주민들을 보호할 수 있는 상비군을 일으켰습니다.,모든 식민지에게 공정한 내부 거래 규정을 마련했습니다.,영국과의 모든 무역 중단을 계획합니다.
