id,subject,question,choices,answer
1,world_history,수메르와 이집트는 다음과 같은 점을 제외하고는 모두 비슷했습니다.,"['홍수로 인해 남겨진 토사에 대한 농업 의존도', '자연의 신을 중심으로 한 다신교에 대한 믿음', '자연 장벽의 침입으로부터 보호받는 즐거움', '고유한 문자 언어 체계 개발', '인근의 다른 문화권과의 무역에 참여']",3
2,world_history,중국 도교 철학의 추종자는 다음 중 어느 진술에 가장 동의하겠습니까?,"['정부의 개입은 최소화해야 합니다.', '정부는 교육을 잘 받은 남성이 운영할 때 가장 잘 작동합니다.', '정부는 국가를 강화하는 데 집중해야 합니다.', '지나치게 많은 자유를 허용하는 정부는 실패할 수밖에 없습니다.', '정부는 독립적인 생각을 억압할 의무가 있습니다.']",1
3,world_history,다음 중 구석기 시대 초기 인류의 특징이 아닌 것은?,"['간단한 도구를 만들고 사용할 수 있는 능력', '영구 정착지에 거주하는 경향', '사냥 및 채집 기술에 대한 의존도', '예술적인 동굴 그림을 그리는 성향', '요리 및 난방을 위한 불의 숙달']",2
4,world_history,불교는 부분적으로 어떤 신앙에 대한 질문에 대한 응답으로 창시되었나요?,"['이슬람교', '도교', '유대교', '힌두교', '기독교']",4
5,world_history,쿠시 도시 메로에가 유명해진 것은 주로 다음과 같은 자연적인 공급 덕분입니다.,"['소금', '철', 'gold', '곡물', 'silver']",2
6,world_history,"1차 포에니 전쟁 당시 로마인들은 시칠리아 점령에 가장 큰 관심을 보였는데, 그 이유는 다음과 같습니다.","['다양한 천연 자원을 제공했습니다.', '전략적 군사 기지 역할을 할 수 있습니다.', '로마가 민간인의 손실을 복수할 수 있게 해줄 것입니다.', '는 로마의 동방과의 무역 능력을 증가시킬 것입니다.', '카르타고군이 이탈리아를 침공할 때 중요한 장소가 될 수 있습니다.']",1
7,world_history,테르모필레 전투는 페르시아 전쟁에서 아테네가 승리하는 데 핵심적인 역할을 했습니다.,"['페르시아인들이 아테네에 도달하여 약탈하는 것을 막았습니다.', '아테네에 도착하기 전에 페르시아 군대의 상당 부분을 전멸시켰습니다.', '페르시아의 접근을 지연시키고 아테네군에게 준비할 시간을 주었습니다.', '페르시아 해군을 제거하고 육상 공격에 의존하도록 강요했습니다.', '페르시아의 사기를 약화시키고 병사들이 싸우기를 꺼리게 만들었습니다.']",3
8,world_history,누가 로마 제국을 반으로 나눴나요?,"['Augustus', '디오클레티아누스', '줄리어스 시저', '콘스탄틴', '마크 안토니']",2
9,world_history,무역을 위한 실크로드의 사용은 주로 다음과 같은 이유로 한 왕조 말기에 감소했습니다.,"['장거리 무역을 너무 비싸게 만드는 경제 상황', '여행하기에 안전하지 않은 도로를 만든 끊임없는 전쟁', '지중해의 실크 제품에 대한 수요 감소', '중국 실크의 엄청난 부족 현상', '도로를 따라 이동하며 인구를 몰살시킨 전염병']",5
10,world_history,도리아 시대에 그리스는 식량 부족을 겪었습니다.,"['비정상적으로 따뜻하고 건조한 기상 조건의 기간', '다른 지중해 문화권과의 무역 감소', '농작물에 피해를 입힌 장기적인 농업 병충해', '그리스 본토로부터의 이민 추세', '상당한 자원을 사용한 페르시아와의 전쟁']",4
11,world_history,몽골이 중국을 장악하고 원나라를 세웠을 때 다음을 제외한 모든 일을 했습니다.,"['중국인들과 분리된 그들만의 커뮤니티 구축', '중국식 중앙집권적 정부 형태 채택', '일본 및 동남아시아 침략 시도', '공무원 시험의 새로운 버전 확립', '더 큰 종교의 자유 허용']",4
12,world_history,셀주크 투르크의 비잔틴 영토 침공은 주로 다음과 같은 이유로 비잔틴 제국의 약화로 이어졌습니다.,"['제국 전역에 퍼진 정치적 불안과 내전', '식량 공급과 세금 징수 능력이 모두 감소합니다.', '다른 지중해 문화권과의 교역 중단', '광범위한 종교적 격변과 이슬람 개종', '인구를 몰살시킨 전염병의 발생']",2
13,world_history,9세기에 바이킹은 주로 다음과 같은 목적으로 다른 유럽 공동체를 침략했습니다.,"['영토 분쟁을 결정합니다.', '종교적 열정을 불러일으키기', '식량 부족 문제 해결', '무역 금지 조치 설정', '경제적 고통 유발']",3
