id,subject,question,choices,answer
1,us_history,"""아메리칸 인디언""이라는 용어는 다음과 같은 사람들을 지칭하기 때문에 잘못된 이름입니다.","['는 아메리카 원주민이 아닙니다.', '원래 아시아에서 온', '동인도 제도에 서식하지 않았습니다.', '유럽 언어를 구사하지 못함', '1400년대에 아메리카 대륙에 처음 정착했습니다.']",3
2,us_history,다음 중 이로쿼이 연방의 설립과 성공에 가장 크게 기여한 인물은 누구입니까?,"['이로쿼이 부족의 작은 규모', '부족들이 모두 같은 국가에 속해 있었다는 사실', '인기 투표로 선출된 의원', '이로쿼이 부족 간의 끊임없는 갈등', '뉴잉글랜드 타운 미팅의 예']",2
3,us_history,현대 미국 문화에 가장 큰 영향을 미친 국가는 어디인가요?,"['아시아', '영국', '프랑스', '이탈리아', '스페인']",2
4,us_history,유럽인들이 아메리카 원주민을 지배하고 점차 그들의 땅을 점령하는 데 성공할 수 있었던 주요 이유는 다음과 같습니다.,"['그들의 종교가 더 설득력이 있었습니다.', '땅에 대한 그들의 존중은 더 컸습니다.', '그들은 아메리카 원주민보다 더 나은 농부였습니다.', '그들의 무기는 더 정교하고 치명적이었습니다.', '그들은 아메리카 원주민보다 먼저 미국에 도착했습니다.']",4
5,us_history,매사추세츠 베이의 정착민들은 왜 하버드 대학을 설립했을까요?,"['그들은 코네티컷에 있는 예일 대학에 필적할 만한 학교를 원했습니다.', '실직한 교수들에게 일자리를 제공해야 했습니다.', '그들은 교회의 미래 목회자를 교육하는 데 관심이 있었습니다.', '그들은 뉴잉글랜드의 소년과 소녀 모두가 읽기를 배우기를 원했습니다.', '그들은 정교 분리를 주장했습니다.']",3
6,us_history,펜실베이니아와 매사추세츠 베이 식민지의 가장 중요한 차이점은 펜실베이니아는,"['는 기독교인이 설립한 것이 아닙니다.', '영국의 식민지가 아니었습니다.', '대도시가 없었습니다.', '신권주의에 의해 통치되지 않았습니다.', '유럽에서 정착민을 유치하지 못했습니다.']",4
7,us_history,남부 농장의 성공으로 인해 다음 중 어느 것이 증가했습니까?,"['아프리카 노예 무역', '노예 계약', '식민지 간 무역', '도시 건설', '아메리카 원주민과의 무역']",1
8,us_history,다음 중 매사추세츠에서 신정 체제가 사라지는 데 가장 큰 영향을 미친 사건은?,"['로드 아일랜드의 건국', '예일 대학 설립', '앤 허친슨의 추방', '펜실베니아의 건국', '세일럼 마술 재판']",5
9,us_history,1650년대의 항해법은 다음과 같은 목적을 가지고 있었습니다:,"['식민지 무역을 보호하기 위해', '영국을 위한 수익 증대', '식민지 무역에 대한 영국의 통제권을 유지하기 위해', '중상주의 경제를 육성하기 위해', '식민지에 대한 수입을 늘리고 수출을 줄이려고']",5
10,us_history,영국에서 영광스러운 혁명이 가져온 주요 결과는 다음과 같습니다.,"['뉴잉글랜드 식민지 주민들은 에드먼드 안드로스를 쫓아냈습니다.', '영국은 다시 한 번 가톨릭 국가가 되었습니다.', '여왕이 처음으로 영국을 직접 통치했습니다.', '식민지 의회는 민병대의 필요성을 논의하기 시작했습니다.', '영국 개신교도들은 종교 박해에 대한 두려움으로 식민지로 도망치기 시작했습니다.']",1
